timestamp,instrument,confidence,device,source_type
2025-07-23 21:26:35,charango,0.46,cuda,video_test
2025-07-23 21:26:40,charango,0.34,cuda,video_test
2025-07-23 21:26:40,charango,0.26,cuda,video_test
2025-07-23 21:26:40,charango,0.76,cuda,video_test
2025-07-23 21:26:40,charango,0.47,cuda,video_test
2025-07-23 21:26:40,charango,0.61,cuda,video_test
2025-07-23 21:26:40,charango,0.29,cuda,video_test
2025-07-23 21:26:40,charango,0.63,cuda,video_test
2025-07-23 21:26:40,charango,0.27,cuda,video_test
2025-07-23 21:26:40,charango,0.54,cuda,video_test
2025-07-23 21:26:41,charango,0.45,cuda,video_test
2025-07-23 21:26:41,charango,0.60,cuda,video_test
2025-07-23 21:26:41,charango,0.40,cuda,video_test
2025-07-23 21:26:41,charango,0.39,cuda,video_test
2025-07-23 21:26:41,charango,0.35,cuda,video_test
2025-07-23 21:26:41,charango,0.49,cuda,video_test
2025-07-23 21:26:41,charango,0.26,cuda,video_test
2025-07-23 21:26:41,charango,0.29,cuda,video_test
2025-07-23 21:26:41,charango,0.44,cuda,video_test
2025-07-23 21:26:41,charango,0.28,cuda,video_test
2025-07-23 21:26:41,charango,0.41,cuda,video_test
2025-07-23 21:26:41,charango,0.37,cuda,video_test
2025-07-23 21:26:41,charango,0.54,cuda,video_test
2025-07-23 21:26:41,charango,0.58,cuda,video_test
2025-07-23 21:26:41,charango,0.58,cuda,video_test
2025-07-23 21:26:41,charango,0.55,cuda,video_test
2025-07-23 21:26:41,charango,0.65,cuda,video_test
2025-07-23 21:26:41,charango,0.75,cuda,video_test
2025-07-23 21:26:42,charango,0.87,cuda,video_test
2025-07-23 21:26:42,charango,0.83,cuda,video_test
2025-07-23 21:26:42,charango,0.68,cuda,video_test
2025-07-23 21:26:42,charango,0.76,cuda,video_test
2025-07-23 21:26:42,charango,0.81,cuda,video_test
2025-07-23 21:26:42,charango,0.83,cuda,video_test
2025-07-23 21:26:42,charango,0.80,cuda,video_test
2025-07-23 21:26:42,charango,0.78,cuda,video_test
2025-07-23 21:26:42,charango,0.77,cuda,video_test
2025-07-23 21:26:42,charango,0.58,cuda,video_test
2025-07-23 21:26:42,charango,0.30,cuda,video_test
2025-07-23 21:26:42,charango,0.30,cuda,video_test
