device,instrument,Detecciones_Totales,Confianza_Minima,Confianza_Maxima,Confianza_Promedio
cuda,bombo_andino,274,0.25,0.96,0.42259124087591243
cuda,charango,218,0.25,0.96,0.5971559633027523
cuda,dulzaina,102,0.25,0.82,0.4907843137254902
cuda,pingullo,490,0.25,0.9,0.5211428571428571
cuda,rondador,256,0.25,1.0,0.7401171875
