timestamp,instrument,confidence,device,source_type,fps,ram_usage_mb
2025-07-26 07:58:48,dulzaina,0.62,cpu,video_test,28.98,626.12
2025-07-26 07:58:49,dulzaina,0.75,cpu,video_test,31.27,626.12
2025-07-26 07:58:49,dulzaina,0.73,cpu,video_test,29.48,626.12
2025-07-26 07:58:49,dulzaina,0.65,cpu,video_test,31.86,626.12
2025-07-26 07:58:49,dulzaina,0.67,cpu,video_test,26.68,626.12
2025-07-26 07:58:49,dulzaina,0.78,cpu,video_test,31.44,626.12
2025-07-26 07:58:49,dulzaina,0.78,cpu,video_test,29.70,626.12
2025-07-26 07:58:49,dulzaina,0.81,cpu,video_test,29.73,626.12
2025-07-26 07:58:49,dulzaina,0.82,cpu,video_test,31.77,626.12
2025-07-26 07:58:49,dulzaina,0.80,cpu,video_test,31.78,626.12
2025-07-26 07:58:49,dulzaina,0.76,cpu,video_test,28.04,626.12
2025-07-26 07:58:49,dulzaina,0.80,cpu,video_test,28.02,626.12
2025-07-26 07:58:49,dulzaina,0.80,cpu,video_test,30.46,626.12
2025-07-26 07:58:53,dulzaina,0.33,cpu,video_test,31.53,627.60
2025-07-26 07:58:53,dulzaina,0.43,cpu,video_test,31.75,627.57
2025-07-26 07:58:53,dulzaina,0.59,cpu,video_test,28.02,627.57
2025-07-26 07:58:53,dulzaina,0.64,cpu,video_test,31.74,627.57
2025-07-26 07:58:53,dulzaina,0.41,cpu,video_test,27.98,627.57
2025-07-26 07:58:53,dulzaina,0.54,cpu,video_test,31.41,627.58
2025-07-26 07:58:53,dulzaina,0.52,cpu,video_test,31.41,627.58
2025-07-26 07:58:53,dulzaina,0.30,cpu,video_test,31.31,627.58
2025-07-26 07:58:53,dulzaina,0.44,cpu,video_test,31.04,627.57
2025-07-26 07:58:54,dulzaina,0.58,cpu,video_test,31.32,627.58
2025-07-26 07:58:54,dulzaina,0.25,cpu,video_test,31.32,627.58
2025-07-26 07:58:54,dulzaina,0.62,cpu,video_test,31.47,627.58
2025-07-26 07:58:54,dulzaina,0.51,cpu,video_test,31.07,627.57
2025-07-26 07:58:54,dulzaina,0.44,cpu,video_test,31.36,627.57
2025-07-26 07:58:55,dulzaina,0.35,cpu,video_test,26.72,627.57
2025-07-26 07:58:55,dulzaina,0.30,cpu,video_test,28.61,627.57
