epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,278.375,1.82959,3.56652,2.4331,0.39218,0.50141,0.39279,0.24946,3.02064,3.71618,3.65721,0.000509727,0.000509727,0.000509727
43,290.476,1.74344,3.48468,2.41249,0.38416,0.39294,0.41894,0.28946,3.14067,3.85789,3.62677,0.000495062,0.000495062,0.000495062
44,297.393,1.85638,3.67927,2.42667,0.49726,0.4124,0.44257,0.30943,2.8168,3.98822,3.36211,0.000480396,0.000480396,0.000480396
45,303.254,1.79137,3.5314,2.39556,0.38667,0.50039,0.42055,0.2945,2.82337,4.5093,3.32584,0.000465731,0.000465731,0.000465731
46,308.992,1.7732,3.44984,2.40528,0.4537,0.49781,0.43726,0.30933,2.93852,4.41806,3.47072,0.000451066,0.000451066,0.000451066
47,314.854,1.76827,3.64661,2.40896,0.40712,0.45438,0.43595,0.31016,2.85226,3.85103,3.37552,0.000436401,0.000436401,0.000436401
48,320.771,1.6708,3.31727,2.27323,0.49854,0.4514,0.45949,0.30186,2.9828,3.59619,3.48721,0.000421736,0.000421736,0.000421736
49,327.954,1.73959,3.4056,2.38263,0.42928,0.4314,0.43881,0.28746,2.98511,3.84255,3.49225,0.00040707,0.00040707,0.00040707
50,334.392,1.67095,3.24584,2.3339,0.45632,0.48144,0.4416,0.29573,2.77111,3.86755,3.39524,0.000392405,0.000392405,0.000392405
51,340.829,1.58038,3.25263,2.23733,0.41581,0.47942,0.4505,0.29245,2.7399,4.12895,3.3334,0.00037774,0.00037774,0.00037774
52,346.509,1.81676,3.30719,2.40695,0.45594,0.54354,0.45109,0.27637,2.92818,4.15722,3.38774,0.000363075,0.000363075,0.000363075
53,351.865,1.64013,3.01551,2.3146,0.41209,0.51743,0.44428,0.30552,2.82716,3.90187,3.36787,0.00034841,0.00034841,0.00034841
54,357.95,1.60762,3.09589,2.32638,0.47772,0.51929,0.47673,0.33816,2.94828,3.85459,3.3839,0.000333744,0.000333744,0.000333744
55,364.075,1.61491,2.97408,2.26226,0.49405,0.44711,0.49169,0.34943,2.85563,4.05446,3.35605,0.000319079,0.000319079,0.000319079
56,369.544,1.56645,2.82232,2.21603,0.55556,0.43132,0.50344,0.35526,2.93864,3.90893,3.42619,0.000304414,0.000304414,0.000304414
57,375.895,1.66657,3.10461,2.29865,0.70584,0.38159,0.53973,0.36723,2.86387,4.06894,3.37922,0.000289749,0.000289749,0.000289749
58,381.943,1.49286,2.74992,2.21474,0.60257,0.41875,0.52394,0.36639,2.85847,3.87454,3.35805,0.000275084,0.000275084,0.000275084
59,388.299,1.55837,2.67754,2.25132,0.58283,0.47192,0.53433,0.35288,2.97878,3.94734,3.49181,0.000260418,0.000260418,0.000260418
60,394.632,1.59686,2.79597,2.26824,0.50762,0.53997,0.54872,0.33159,2.98621,4.03977,3.55286,0.000245753,0.000245753,0.000245753
61,400.471,1.60459,2.85409,2.25566,0.47473,0.51402,0.50341,0.33676,3.01569,3.69168,3.59033,0.000231088,0.000231088,0.000231088
62,405.999,1.51118,2.68637,2.21692,0.396,0.46678,0.4554,0.31752,3.07215,3.43321,3.58935,0.000216423,0.000216423,0.000216423
63,411.688,1.46152,2.89002,2.26233,0.38485,0.52345,0.47446,0.34321,3.07413,3.46784,3.48763,0.000201758,0.000201758,0.000201758
64,418.042,1.46082,2.49503,2.20722,0.47182,0.5545,0.47678,0.34317,3.07526,3.78705,3.51328,0.000187092,0.000187092,0.000187092
65,423.609,1.43425,2.63661,2.25156,0.46867,0.54921,0.5031,0.35889,3.14918,3.80366,3.58151,0.000172427,0.000172427,0.000172427
66,444.141,1.20169,2.92891,2.07544,0.47267,0.5514,0.51719,0.36555,3.1842,3.78568,3.59044,0.000157762,0.000157762,0.000157762
67,450.221,1.12725,2.77286,1.97783,0.54605,0.52844,0.52674,0.34229,3.14978,3.85474,3.64456,0.000143097,0.000143097,0.000143097
68,456.757,1.14578,2.81023,1.98363,0.56356,0.61784,0.55989,0.35907,3.09819,3.68278,3.61427,0.000128432,0.000128432,0.000128432
69,462.637,1.11127,2.7514,2.00427,0.62539,0.52807,0.53098,0.36621,2.89637,3.72291,3.5222,0.000113766,0.000113766,0.000113766
70,467.775,1.15395,2.64739,2.00528,0.66702,0.47859,0.53767,0.36845,3.13535,3.48878,3.55539,9.91012e-05,9.91012e-05,9.91012e-05
71,472.964,1.01325,2.55174,1.97399,0.71106,0.4941,0.56847,0.38285,3.06846,3.41348,3.52393,8.4436e-05,8.4436e-05,8.4436e-05
72,478.366,1.08944,2.60166,2.00204,0.59132,0.48304,0.5454,0.37581,2.98183,3.34544,3.40073,6.97708e-05,6.97708e-05,6.97708e-05
73,483.292,1.05374,2.55119,1.94425,0.65419,0.5024,0.58971,0.39194,2.92363,3.26569,3.37354,5.51056e-05,5.51056e-05,5.51056e-05
74,488.434,1.05942,2.62673,1.98028,0.63972,0.49343,0.56167,0.38472,2.94569,3.29006,3.33389,4.04404e-05,4.04404e-05,4.04404e-05
75,493.37,0.98811,2.41384,1.89619,0.67678,0.45526,0.56085,0.38518,2.99843,3.30992,3.36277,2.57752e-05,2.57752e-05,2.57752e-05
